player_id,name,position,position_group,age,height_in_cm,foot,highest_market_value_in_eur,total_appearances,total_goals,total_assists,total_minutes,total_yellow,total_red,market_value_in_eur,market_value_m,log_market_value,valuation_year,clean_sheets,current_club_domestic_competition_id,squad_size,transfer_count,total_fees_eur,has_appearances
123,Christoph Metzelder,Defender,DEF,45,183.0,unknown,9500000.0,7.0,0.0,1.0,427.0,0.0,0.0,1500000.0,1.5,14.220976332738882,2013.0,0.0,L1,27,0.0,0.0,1
276,Sladan Peric,Defender,DEF,43,183.0,unknown,500000.0,6.0,0.0,0.0,232.0,0.0,0.0,200000.0,0.2,12.206077645517674,2013.0,1.0,DK1,0,0.0,0.0,1
568,Martin Stranzl,Defender,DEF,45,183.0,unknown,4500000.0,100.0,8.0,0.0,8607.0,18.0,1.0,1000000.0,1.0,13.815511557963774,2016.0,4.0,L1,28,0.0,0.0,1
735,Giuseppe Gemiti,Defender,DEF,44,178.0,left,1250000.0,11.0,0.0,1.0,669.0,1.0,0.0,75000.0,0.075,11.225256725762893,2017.0,1.0,IT1,29,0.0,0.0,1
992,Christian Weber,Defender,DEF,42,175.0,right,1500000.0,1.0,0.0,0.0,90.0,0.0,0.0,50000.0,0.05,10.819798284210286,2018.0,0.0,L1,29,0.0,0.0,1
1094,Emanuel Pogatetz,Defender,DEF,42,191.0,left,6000000.0,39.0,1.0,2.0,2942.0,12.0,0.0,200000.0,0.2,12.206077645517674,2019.0,0.0,L1,33,0.0,0.0,1
1277,Clemens Fritz,Defender,DEF,45,183.0,right,7000000.0,128.0,2.0,14.0,10365.0,40.0,0.0,750000.0,0.75,13.527829818844937,2017.0,2.0,L1,30,0.0,0.0,1
1323,Martin Amedick,Defender,DEF,43,183.0,unknown,2750000.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.3,12.611541086966115,2014.0,0.0,L1,29,0.0,0.0,0
1368,Guy Demel,Defender,DEF,44,183.0,unknown,6000000.0,86.0,2.0,3.0,6568.0,7.0,0.0,150000.0,0.15,11.918397239722838,2017.0,7.0,SC1,23,0.0,0.0,1
1381,Maik Franz,Defender,DEF,44,183.0,unknown,3500000.0,1.0,0.0,0.0,90.0,0.0,0.0,300000.0,0.3,12.611541086966115,2014.0,0.0,L1,36,0.0,0.0,1
1496,Heiko Butscher,Defender,DEF,45,189.0,both,2250000.0,4.0,0.0,0.0,242.0,0.0,0.0,200000.0,0.2,12.206077645517674,2015.0,0.0,L1,29,0.0,0.0,1
1560,Youssef El Akchaoui,Defender,DEF,44,183.0,unknown,1750000.0,8.0,0.0,0.0,549.0,0.0,0.0,350000.0,0.35,12.765691290604371,2013.0,0.0,NL1,25,0.0,0.0,1
1572,Andreas Wolf,Defender,DEF,43,182.0,right,5000000.0,1.0,0.0,0.0,29.0,0.0,0.0,500000.0,0.5,13.122365377402328,2014.0,0.0,FR1,28,0.0,0.0,1
1586,Christian Schulz,Defender,DEF,42,185.0,left,4500000.0,116.0,5.0,2.0,9676.0,25.0,0.0,100000.0,0.1,11.51293546492023,2020.0,3.0,L1,28,0.0,0.0,1
1606,Morten Rasmussen,Defender,DEF,40,188.0,right,600000.0,35.0,1.0,0.0,2989.0,11.0,0.0,50000.0,0.05,10.819798284210286,2017.0,0.0,DK1,19,0.0,0.0,1
1613,Vivian,Defender,DEF,43,183.0,unknown,1500000.0,12.0,0.0,0.0,796.0,2.0,2.0,100000.0,0.1,11.51293546492023,2017.0,1.0,FR1,27,0.0,0.0,1
1662,Sascha Riether,Defender,DEF,42,183.0,unknown,6000000.0,121.0,1.0,13.0,9641.0,14.0,0.0,300000.0,0.3,12.611541086966115,2019.0,6.0,L1,27,0.0,0.0,1
1726,Heiko Westermann,Defender,DEF,42,190.0,right,9000000.0,126.0,8.0,5.0,10583.0,21.0,0.0,400000.0,0.4,12.899222326086994,2018.0,7.0,NL1,28,0.0,0.0,1
