player_id,name,position,position_group,age,height_in_cm,foot,highest_market_value_in_eur,total_appearances,total_goals,total_assists,total_minutes,total_yellow,total_red,market_value_in_eur,market_value_m,log_market_value,valuation_year,clean_sheets,current_club_domestic_competition_id,squad_size,transfer_count,total_fees_eur,has_appearances
26,Roman Weidenfeller,Goalkeeper,GK,45,190.0,left,8000000.0,152.0,0.0,0.0,13508.0,4.0,2.0,750000.0,0.75,13.527829818844937,2017.0,11.0,L1,24,0.0,0.0,1
80,Tom Starke,Goalkeeper,GK,44,194.0,right,3000000.0,12.0,0.0,0.0,1080.0,0.0,0.0,100000.0,0.1,11.51293546492023,2018.0,4.0,L1,24,0.0,0.0,1
643,Christian Vander,Goalkeeper,GK,45,195.0,right,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.1,11.51293546492023,2013.0,0.0,L1,30,0.0,0.0,0
1144,Christofer Heimeroth,Goalkeeper,GK,44,194.0,right,1300000.0,2.0,0.0,0.0,103.0,0.0,0.0,100000.0,0.1,11.51293546492023,2017.0,4.0,L1,28,0.0,0.0,1
1257,Michael Ratajczak,Goalkeeper,GK,43,188.0,right,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.05,10.819798284210286,2021.0,0.0,L1,26,0.0,0.0,0
1363,Christian Wetklo,Goalkeeper,GK,45,190.0,right,1000000.0,37.0,0.0,0.0,3242.0,5.0,2.0,50000.0,0.05,10.819798284210286,2016.0,1.0,L1,27,0.0,0.0,1
1474,Tim Wiese,Goalkeeper,GK,44,183.0,unknown,10000000.0,11.0,0.0,0.0,990.0,0.0,0.0,500000.0,0.5,13.122365377402328,2014.0,0.0,L1,29,0.0,0.0,1
1667,Diego Benaglio,Goalkeeper,GK,42,194.0,right,11500000.0,199.0,0.0,0.0,17762.0,9.0,0.0,250000.0,0.25,12.429220196836383,2019.0,10.0,FR1,28,0.0,0.0,1
1743,Patrick Platins,Goalkeeper,GK,42,190.0,right,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.25,12.429220196836383,2016.0,1.0,L1,27,0.0,0.0,0
1784,René Adler,Goalkeeper,GK,40,183.0,unknown,16000000.0,144.0,0.0,3.0,12858.0,12.0,1.0,500000.0,0.5,13.122365377402328,2019.0,9.0,L1,31,0.0,0.0,1
2154,Patric Klandt,Goalkeeper,GK,42,184.0,right,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.05,10.819798284210286,2022.0,0.0,L1,33,0.0,0.0,0
2201,Lukas Kruse,Goalkeeper,GK,42,185.0,right,1000000.0,35.0,0.0,0.0,3180.0,0.0,0.0,100000.0,0.1,11.51293546492023,2019.0,4.0,L1,26,0.0,0.0,1
2306,Markus Miller,Goalkeeper,GK,43,189.0,right,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.3,12.611541086966115,2015.0,1.0,L1,28,0.0,0.0,0
2421,Michael Rensing,Goalkeeper,GK,41,190.0,right,4500000.0,37.0,0.0,1.0,3360.0,2.0,0.0,300000.0,0.3,12.611541086966115,2020.0,2.0,L1,29,0.0,0.0,1
2583,Thorsten Stuckmann,Goalkeeper,GK,44,199.0,right,1200000.0,5.0,0.0,0.0,362.0,0.0,0.0,100000.0,0.1,11.51293546492023,2018.0,2.0,SC1,19,0.0,0.0,1
2857,Eldin Jakupovic,Goalkeeper,GK,41,191.0,right,1500000.0,32.0,0.0,0.0,2837.0,0.0,0.0,100000.0,0.1,11.51293546492023,2023.0,8.0,GB1,25,0.0,0.0,1
3190,Stuart Taylor,Goalkeeper,GK,45,198.0,right,1500000.0,4.0,0.0,0.0,360.0,0.0,0.0,250000.0,0.25,12.429220196836383,2018.0,3.0,GB1,27,0.0,0.0,1
3322,Ben Williams,Goalkeeper,GK,43,188.0,left,500000.0,83.0,0.0,0.0,7470.0,1.0,0.0,100000.0,0.1,11.51293546492023,2019.0,7.0,SC1,26,0.0,0.0,1
3466,Kevin Stuhr-Ellegaard,Goalkeeper,GK,42,196.0,right,1500000.0,1.0,0.0,0.0,90.0,0.0,0.0,100000.0,0.1,11.51293546492023,2021.0,2.0,DK1,26,0.0,0.0,1
3539,Luke Steele,Goalkeeper,GK,41,188.0,right,1500000.0,87.0,0.0,0.0,7830.0,4.0,0.0,150000.0,0.15,11.918397239722838,2020.0,12.0,GR1,33,0.0,0.0,1
