player_id,name,position,position_group,age,height_in_cm,foot,highest_market_value_in_eur,total_appearances,total_goals,total_assists,total_minutes,total_yellow,total_red,market_value_in_eur,market_value_m,log_market_value,valuation_year,clean_sheets,current_club_domestic_competition_id,squad_size,transfer_count,total_fees_eur,has_appearances
132,Tomas Rosicky,Midfield,MID,45,179.0,both,17500000.0,77.0,9.0,4.0,3987.0,13.0,0.0,350000.0,0.35,12.765691290604371,2017.0,4.0,GB1,24,0.0,0.0,1
264,Tamás Hajnal,Midfield,MID,44,167.0,both,6500000.0,24.0,2.0,3.0,1227.0,1.0,0.0,100000.0,0.1,11.51293546492023,2018.0,0.0,L1,30,0.0,0.0,1
277,Sérgio da Silva Pinto,Midfield,MID,45,176.0,right,3500000.0,66.0,5.0,4.0,4746.0,15.0,0.0,150000.0,0.15,11.918397239722838,2016.0,6.0,ES1,26,0.0,0.0,1
332,Benjamin Köhler,Midfield,MID,45,183.0,unknown,2500000.0,7.0,0.0,0.0,76.0,0.0,0.0,150000.0,0.15,11.918397239722838,2017.0,0.0,L1,29,0.0,0.0,1
410,Sebastian Kehl,Midfield,MID,45,187.0,left,9000000.0,93.0,3.0,6.0,6590.0,11.0,0.0,1000000.0,1.0,13.815511557963774,2015.0,3.0,L1,24,0.0,0.0,1
597,Aleksandr Hleb,Midfield,MID,44,183.0,unknown,19000000.0,76.0,4.0,13.0,5014.0,4.0,0.0,150000.0,0.15,11.918397239722838,2019.0,12.0,RU1,29,0.0,0.0,1
691,Simon Rolfes,Midfield,MID,43,191.0,left,9500000.0,116.0,12.0,8.0,8123.0,10.0,1.0,2000000.0,2.0,14.508658238524095,2015.0,3.0,L1,26,0.0,0.0,1
823,Hanno Balitsch,Midfield,MID,44,182.0,right,4000000.0,49.0,1.0,2.0,4022.0,9.0,0.0,200000.0,0.2,12.206077645517674,2016.0,1.0,L1,33,0.0,0.0,1
831,Selim Teber,Midfield,MID,44,187.0,right,2500000.0,8.0,0.0,0.0,268.0,1.0,0.0,175000.0,0.175,12.07254696717504,2014.0,0.0,TR1,0,0.0,0.0,1
933,Ugur Inceman,Midfield,MID,44,183.0,right,3000000.0,111.0,6.0,7.0,8615.0,27.0,0.0,50000.0,0.05,10.819798284210286,2018.0,13.0,TR1,30,0.0,0.0,1
1083,Julian de Guzmán,Midfield,MID,44,183.0,unknown,5000000.0,28.0,1.0,2.0,2302.0,8.0,0.0,250000.0,0.25,12.429220196836383,2016.0,2.0,GR1,0,0.0,0.0,1
1095,Peer Kluge,Midfield,MID,45,183.0,unknown,4000000.0,3.0,0.0,1.0,122.0,0.0,0.0,125000.0,0.125,11.736077016252437,2016.0,0.0,L1,36,0.0,0.0,1
1126,Matthias Lehmann,Midfield,MID,42,183.0,unknown,2500000.0,119.0,6.0,6.0,10082.0,32.0,0.0,250000.0,0.25,12.429220196836383,2019.0,16.0,L1,30,0.0,0.0,1
1321,Jermaine Jones,Midfield,MID,44,184.0,both,8000000.0,65.0,3.0,8.0,4948.0,23.0,1.0,600000.0,0.6,13.304686600863562,2017.0,3.0,TR1,28,0.0,0.0,1
1327,Alou Diarra,Midfield,MID,44,189.0,right,14500000.0,40.0,2.0,1.0,2531.0,10.0,0.0,250000.0,0.25,12.429220196836383,2017.0,7.0,FR1,27,0.0,0.0,1
1443,Christian Poulsen,Midfield,MID,45,181.0,right,12000000.0,101.0,2.0,5.0,6051.0,10.0,1.0,400000.0,0.4,12.899222326086994,2015.0,5.0,DK1,27,0.0,0.0,1
1573,Thomas Hitzlsperger,Midfield,MID,43,183.0,unknown,9000000.0,9.0,0.0,0.0,361.0,0.0,0.0,1000000.0,1.0,13.815511557963774,2013.0,0.0,GB1,25,0.0,0.0,1
1791,Halil Altintop,Midfield,MID,43,185.0,right,7500000.0,157.0,29.0,18.0,10893.0,5.0,0.0,200000.0,0.2,12.206077645517674,2018.0,13.0,L1,28,0.0,0.0,1
1792,Hamit Altintop,Midfield,MID,43,183.0,right,11000000.0,91.0,2.0,9.0,6053.0,16.0,0.0,300000.0,0.3,12.611541086966115,2017.0,0.0,L1,27,0.0,0.0,1
