,log_market_value
7001,13.592368256649284
624,13.017005083966255
5611,12.429220196836384
3972,11.51293546492023
7176,11.51293546492023
5914,14.220976332738882
8077,14.220976332738882
8779,17.034386422832473
756,11.918397239722838
2972,13.45883704259595
4194,12.206077645517674
3560,12.765691290604371
6453,14.508658238524095
4423,14.914123179965662
3149,11.51293546492023
6299,13.384729180332174
4389,12.206077645517674
2652,11.918397239722838
2487,12.611541086966117
7470,11.918397239722838
6441,12.611541086966117
3665,12.429220196836384
3675,11.918397239722838
6474,13.122365377402328
549,11.918397239722838
4148,11.918397239722838
764,10.819798284210286
5454,14.731801689838347
7095,10.819798284210286
7564,12.611541086966117
5998,9.210440366976515
4509,15.424948670398354
1372,12.611541086966117
8169,14.603968372873895
333,10.819798284210286
1259,12.206077645517674
7626,13.304686600863562
1790,11.51293546492023
1870,14.220976332738882
1024,12.206077645517674
4526,10.819798284210286
752,11.918397239722838
4984,12.206077645517674
5352,12.524530013005734
3219,12.206077645517674
351,12.899222326086994
1511,12.429220196836384
3866,12.765691290604371
7855,15.068273812173889
7357,12.323860125621126
2729,12.611541086966117
701,11.51293546492023
5331,10.819798284210286
5470,12.611541086966117
8073,12.765691290604371
4920,10.819798284210286
561,10.819798284210286
6601,12.899222326086994
5950,11.51293546492023
9253,11.51293546492023
7306,10.819798284210286
2944,13.592368256649284
2665,13.304686600863562
3186,11.225256725762891
6478,15.201805169084134
6575,14.508658238524095
5434,12.765691290604371
5608,9.210440366976515
1047,11.918397239722838
6035,12.899222326086994
4894,11.736077016252436
414,10.12667110305036
3452,11.51293546492023
7888,17.622173069956816
4749,14.731801689838347
5227,12.429220196836384
4300,15.424948670398354
2757,15.068273812173889
6386,10.819798284210286
3369,14.914123179965662
5335,12.429220196836384
6282,14.845130332288226
8013,13.304686600863562
5678,13.45883704259595
1583,12.206077645517674
1412,11.736077016252436
4808,12.206077645517674
5243,12.429220196836384
5795,10.819798284210286
6922,10.819798284210286
4503,13.384729180332174
7538,12.323860125621126
1507,11.51293546492023
7800,14.220976332738882
6673,13.122365377402328
1971,11.51293546492023
842,12.899222326086994
1146,12.611541086966117
7663,11.918397239722838
5177,15.201805169084134
2266,11.225256725762891
7436,16.52356082573315
1253,12.07254696717504
463,12.206077645517674
5016,11.51293546492023
0,13.815511557963774
5403,11.225256725762891
8972,13.997832948091215
5815,13.71015115341694
8607,11.225256725762891
5708,10.819798284210286
6188,12.07254696717504
378,10.819798284210286
8844,12.429220196836384
6110,14.346139397261563
1335,12.429220196836384
1223,13.527829818844936
1981,11.51293546492023
668,12.899222326086994
6551,15.607270193858982
7588,12.429220196836384
4580,13.592368256649284
6500,10.12667110305036
6975,15.424948670398354
5740,12.206077645517674
3323,12.429220196836384
1811,14.220976332738882
5566,14.403297778421797
8028,11.51293546492023
9054,13.122365377402328
6817,14.508658238524095
8246,13.122365377402328
5095,14.914123179965662
2036,12.899222326086994
5071,14.285514812209817
5724,16.118095750958314
2354,10.819798284210286
7659,14.731801689838347
3018,12.429220196836384
1189,10.12667110305036
2580,11.51293546492023
3861,13.997832948091215
7310,16.118095750958314
3794,13.017005083966255
4469,11.225256725762891
5293,11.51293546492023
1406,12.611541086966117
1561,12.899222326086994
330,10.819798284210286
1175,10.819798284210286
5547,12.83468397161566
4714,12.206077645517674
1149,11.736077016252436
2677,13.815511557963774
3135,15.068273812173889
214,10.12667110305036
5014,12.206077645517674
7206,12.07254696717504
547,13.592368256649284
5964,13.21767537538882
1545,11.918397239722838
2606,11.225256725762891
3905,13.017005083966255
4492,13.815511557963774
172,12.611541086966117
1726,11.51293546492023
9035,11.51293546492023
2233,12.429220196836384
594,12.611541086966117
6038,12.206077645517674
1615,12.524530013005734
1755,10.819798284210286
3549,12.765691290604371
6717,17.034386422832473
8258,14.220976332738882
231,12.611541086966117
8896,16.118095750958314
5129,17.989897843244528
3480,11.51293546492023
6082,15.76142084987672
9286,12.611541086966117
7925,13.304686600863562
8619,16.300417291085605
2881,12.611541086966117
2991,13.122365377402328
2814,11.918397239722838
3597,11.51293546492023
4113,13.592368256649284
6704,11.918397239722838
7680,12.899222326086994
7596,13.304686600863562
1515,11.736077016252436
216,12.611541086966117
1038,12.899222326086994
323,11.918397239722838
2570,10.819798284210286
4585,13.45883704259595
2629,11.918397239722838
2245,11.51293546492023
6509,13.815511557963774
4615,13.592368256649284
893,10.819798284210286
2499,10.12667110305036
2022,12.206077645517674
1850,11.51293546492023
3526,11.51293546492023
2797,12.206077645517674
324,13.71015115341694
1215,10.819798284210286
6870,18.420680753952364
8784,12.765691290604371
3494,11.736077016252436
7298,14.508658238524095
8411,13.122365377402328
5666,11.736077016252436
1730,12.206077645517674
4549,13.21767537538882
4413,14.914123179965662
1129,11.51293546492023
2857,10.819798284210286
3293,11.736077016252436
4176,14.220976332738882
3397,11.918397239722838
664,14.151983508870948
7501,14.508658238524095
5035,12.206077645517674
208,12.611541086966117
8825,13.71015115341694
747,13.592368256649284
3346,14.403297778421797
6467,11.918397239722838
798,12.429220196836384
88,10.12667110305036
734,12.611541086966117
196,11.51293546492023
3380,12.429220196836384
4101,13.304686600863562
7362,13.45883704259595
1174,12.206077645517674
6514,11.918397239722838
5399,13.45883704259595
3819,16.118095750958314
6983,11.51293546492023
5927,12.206077645517674
4736,12.206077645517674
7167,13.304686600863562
3879,11.918397239722838
7408,15.424948670398354
1153,12.899222326086994
198,12.899222326086994
3114,11.225256725762891
4180,13.384729180332174
6994,14.220976332738882
1097,12.206077645517674
548,11.51293546492023
3164,12.206077645517674
4636,15.424948670398354
8304,14.508658238524095
7582,14.220976332738882
3754,12.611541086966117
1321,11.51293546492023
4297,12.899222326086994
8029,12.07254696717504
2964,12.429220196836384
5397,11.51293546492023
4917,19.11382792951231
5101,12.206077645517674
4362,13.45883704259595
7886,10.819798284210286
6665,12.07254696717504
2967,15.607270193858982
2513,11.736077016252436
6099,10.819798284210286
5840,15.068273812173889
8440,11.918397239722838
7694,11.918397239722838
4753,10.819798284210286
3161,10.819798284210286
2439,14.508658238524095
937,10.819798284210286
9016,12.765691290604371
7037,11.225256725762891
5070,12.611541086966117
1793,11.918397239722838
622,13.815511557963774
6219,15.607270193858982
5845,11.736077016252436
5969,17.034386422832473
5701,12.899222326086994
8721,12.611541086966117
3012,12.206077645517674
8867,11.51293546492023
6644,12.206077645517674
2131,11.225256725762891
3194,13.122365377402328
4367,11.918397239722838
5018,12.429220196836384
2988,11.51293546492023
6656,12.206077645517674
8194,18.13299868483392
620,12.206077645517674
1544,12.429220196836384
7850,11.51293546492023
8736,12.611541086966117
4611,10.819798284210286
14,12.429220196836384
478,10.12667110305036
1352,14.220976332738882
6484,10.819798284210286
7933,11.225256725762891
3483,14.220976332738882
6521,13.815511557963774
6980,15.201805169084134
2319,11.51293546492023
3857,12.524530013005734
1033,13.122365377402328
2835,11.918397239722838
286,11.51293546492023
550,12.206077645517674
9020,16.52356082573315
4004,13.71015115341694
7670,10.12667110305036
6569,11.225256725762891
5499,12.429220196836384
2373,13.122365377402328
6249,10.12667110305036
2114,12.899222326086994
4125,10.819798284210286
1916,15.201805169084134
7198,14.731801689838347
1569,12.899222326086994
1425,12.206077645517674
4328,13.592368256649284
3011,13.592368256649284
8698,13.304686600863562
1871,11.918397239722838
2333,11.51293546492023
6177,11.918397239722838
8602,10.819798284210286
4412,13.122365377402328
527,13.304686600863562
7411,13.71015115341694
3411,12.611541086966117
3449,11.918397239722838
3827,10.12667110305036
8604,11.51293546492023
4810,14.151983508870948
3006,14.220976332738882
5173,13.592368256649284
7309,13.45883704259595
4352,13.122365377402328
4521,13.017005083966255
8891,17.72753358339242
5217,13.45883704259595
7621,12.206077645517674
2406,16.454567959008102
7646,12.611541086966117
7405,11.51293546492023
6169,14.731801689838347
1554,12.206077645517674
7631,14.731801689838347
7185,17.622173069956816
8181,15.830413711839864
8103,14.914123179965662
2127,12.899222326086994
1677,10.819798284210286
3999,10.819798284210286
4420,12.07254696717504
7720,11.225256725762891
296,11.51293546492023
7098,17.370858648025116
57,13.304686600863562
7709,11.225256725762891
3277,10.819798284210286
7972,14.077875591662238
5257,12.765691290604371
2107,12.611541086966117
8843,13.592368256649284
3851,14.220976332738882
648,12.611541086966117
1370,12.611541086966117
6822,14.914123179965662
2870,11.918397239722838
2348,12.429220196836384
681,11.51293546492023
434,11.51293546492023
7147,11.51293546492023
3020,12.765691290604371
1489,11.51293546492023
812,12.206077645517674
1882,12.206077645517674
2110,14.077875591662238
7892,14.603968372873895
1940,11.225256725762891
2624,10.819798284210286
3703,13.384729180332174
4744,13.997832948091215
1181,13.71015115341694
1375,10.12667110305036
6378,14.978661680269909
4177,12.206077645517674
626,12.206077645517674
7395,13.304686600863562
1669,13.45883704259595
2112,13.122365377402328
7917,12.765691290604371
2465,13.122365377402328
4831,12.611541086966117
84,13.592368256649284
3394,16.118095750958314
2358,13.122365377402328
3737,11.918397239722838
418,10.819798284210286
5600,10.12667110305036
4418,14.731801689838347
293,11.918397239722838
8292,12.07254696717504
1506,12.524530013005734
7528,13.122365377402328
6721,13.592368256649284
1634,12.07254696717504
3718,11.51293546492023
3024,14.077875591662238
1563,11.51293546492023
6887,13.45883704259595
8845,11.51293546492023
1979,15.201805169084134
1883,12.611541086966117
438,11.918397239722838
7446,13.592368256649284
3610,11.736077016252436
5817,16.811242881518265
7012,12.611541086966117
5981,10.12667110305036
2199,14.220976332738882
373,10.819798284210286
3557,10.819798284210286
3444,12.899222326086994
4927,11.918397239722838
3938,12.206077645517674
6320,12.899222326086994
1784,11.225256725762891
5615,11.918397239722838
9116,14.914123179965662
4792,15.068273812173889
6053,10.819798284210286
5901,12.611541086966117
4631,16.300417291085605
2302,10.819798284210286
3489,13.017005083966255
6959,15.201805169084134
4340,11.918397239722838
7151,12.206077645517674
4677,12.429220196836384
4889,13.304686600863562
1541,11.225256725762891
7712,12.323860125621126
322,12.899222326086994
2031,11.918397239722838
3572,12.765691290604371
2895,13.304686600863562
7045,12.899222326086994
4462,13.21767537538882
110,13.815511557963774
8576,11.225256725762891
4988,16.012735246411598
1079,12.899222326086994
7169,15.068273812173889
7705,12.611541086966117
6372,11.918397239722838
4483,13.815511557963774
1164,11.918397239722838
6354,13.997832948091215
1450,14.731801689838347
3970,14.220976332738882
6002,14.220976332738882
5098,12.524530013005734
4429,14.220976332738882
3109,12.611541086966117
6024,13.815511557963774
4084,14.914123179965662
2555,11.51293546492023
7271,11.51293546492023
