,log_market_value
9226,12.429220196836384
5490,13.45883704259595
2889,12.611541086966117
5197,13.592368256649284
1888,12.611541086966117
4630,13.017005083966255
4400,14.508658238524095
4067,14.220976332738882
6127,11.918397239722838
6787,9.210440366976515
7068,12.611541086966117
3280,12.765691290604371
111,12.206077645517674
10464,12.765691290604371
9074,11.918397239722838
2722,14.731801689838347
7064,10.819798284210286
1745,13.71015115341694
2167,13.815511557963774
1452,11.225256725762891
101,12.611541086966117
319,13.815511557963774
6765,13.592368256649284
3406,11.918397239722838
625,12.206077645517674
1922,11.51293546492023
6586,14.077875591662238
7465,15.068273812173889
3153,15.201805169084134
1254,11.51293546492023
1195,10.819798284210286
5256,12.524530013005734
3967,11.225256725762891
9599,15.687312888712007
2288,12.323860125621126
259,13.122365377402328
4472,10.12667110305036
334,11.51293546492023
3607,10.819798284210286
7285,13.815511557963774
7395,14.508658238524095
6104,14.220976332738882
9397,12.206077645517674
7468,16.300417291085605
461,12.429220196836384
8640,12.899222326086994
4022,11.918397239722838
1052,10.12667110305036
696,11.225256725762891
1597,12.429220196836384
8,11.918397239722838
8643,12.765691290604371
99,12.899222326086994
4792,11.225256725762891
8416,11.225256725762891
1456,12.429220196836384
1672,12.206077645517674
7619,10.12667110305036
7298,11.51293546492023
4577,10.819798284210286
4367,11.225256725762891
1194,10.819798284210286
7310,10.819798284210286
31,14.731801689838347
3631,14.151983508870948
8657,16.300417291085605
1360,10.12667110305036
3509,12.611541086966117
6069,10.819798284210286
9357,12.765691290604371
5972,11.51293546492023
8603,14.914123179965662
1414,13.815511557963774
540,11.51293546492023
5712,12.899222326086994
5423,10.819798284210286
3521,11.918397239722838
754,12.429220196836384
7189,11.51293546492023
8841,12.611541086966117
4426,13.304686600863562
9798,15.830413711839864
10222,11.918397239722838
3955,10.12667110305036
5962,12.611541086966117
3341,12.899222326086994
6522,12.206077645517674
9062,11.51293546492023
8598,10.819798284210286
7845,13.997832948091215
9011,12.206077645517674
4303,14.914123179965662
4505,10.12667110305036
601,11.51293546492023
4380,12.691583538230216
9085,14.914123179965662
2273,15.894952224644102
3654,12.206077645517674
9649,12.206077645517674
1044,11.225256725762891
1557,13.122365377402328
8849,15.424948670398354
4789,12.206077645517674
180,11.51293546492023
1699,11.225256725762891
1379,15.201805169084134
9138,14.508658238524095
9436,13.71015115341694
618,12.206077645517674
2488,12.206077645517674
10340,12.765691290604371
1600,12.611541086966117
8525,12.899222326086994
1615,11.225256725762891
10199,13.592368256649284
9665,12.429220196836384
3719,13.71015115341694
2083,12.206077645517674
5870,10.819798284210286
8161,12.899222326086994
4023,17.216707972959764
4799,13.592368256649284
9888,12.611541086966117
5168,10.12667110305036
4898,11.51293546492023
8439,13.592368256649284
1918,14.508658238524095
10052,11.51293546492023
5605,12.429220196836384
5276,11.51293546492023
6241,11.225256725762891
2054,10.819798284210286
2215,12.429220196836384
9891,13.304686600863562
9626,16.300417291085605
1126,13.304686600863562
5683,10.819798284210286
4501,11.918397239722838
3560,14.914123179965662
3905,16.52356082573315
1322,11.225256725762891
1603,11.225256725762891
5408,12.206077645517674
8835,15.068273812173889
6488,13.21767537538882
6601,10.12667110305036
4318,13.21767537538882
10488,10.12667110305036
9575,14.220976332738882
7220,14.403297778421797
4828,13.122365377402328
1559,11.918397239722838
4582,10.819798284210286
7479,13.017005083966255
5238,14.077875591662238
8604,14.403297778421797
3303,12.206077645517674
8493,12.206077645517674
1354,12.07254696717504
45,12.429220196836384
6912,13.122365377402328
748,14.731801689838347
4735,10.819798284210286
8333,14.508658238524095
7297,13.304686600863562
2525,13.592368256649284
7623,12.206077645517674
