,log_market_value
2710,16.52356082573315
1462,15.894952224644102
2188,10.819798284210286
2405,11.225256725762891
865,11.736077016252436
834,10.819798284210286
69,10.819798284210286
3175,12.206077645517674
3050,14.220976332738882
1959,13.592368256649284
436,12.206077645517674
2300,15.201805169084134
1671,13.122365377402328
1461,10.819798284210286
208,11.51293546492023
1063,10.819798284210286
565,11.51293546492023
313,10.12667110305036
601,11.51293546492023
233,11.51293546492023
1515,14.914123179965662
2808,11.918397239722838
1903,11.51293546492023
1033,10.12667110305036
111,11.51293546492023
2745,10.819798284210286
3385,9.210440366976515
2762,10.819798284210286
1925,10.819798284210286
2505,13.122365377402328
472,10.819798284210286
2037,10.819798284210286
1813,16.52356082573315
3035,12.206077645517674
3531,11.51293546492023
860,15.607270193858982
3277,13.997832948091215
3158,10.819798284210286
2684,11.51293546492023
1186,12.899222326086994
655,11.225256725762891
2319,16.213405921671733
361,11.51293546492023
135,15.201805169084134
1523,12.899222326086994
2490,11.225256725762891
1311,13.815511557963774
2596,11.225256725762891
366,11.51293546492023
2174,15.607270193858982
29,11.918397239722838
2896,10.819798284210286
22,12.765691290604371
1290,15.319588176962746
1283,11.918397239722838
916,14.914123179965662
1308,13.304686600863562
695,14.914123179965662
1139,13.304686600863562
701,11.51293546492023
420,13.45883704259595
682,12.611541086966117
3177,13.815511557963774
460,12.611541086966117
43,13.017005083966255
87,14.220976332738882
1241,10.12667110305036
749,11.918397239722838
1853,11.918397239722838
561,12.611541086966117
282,10.819798284210286
3039,10.12667110305036
810,10.819798284210286
2371,10.819798284210286
3347,12.611541086966117
2629,10.819798284210286
533,14.151983508870948
1005,12.765691290604371
2832,10.819798284210286
1799,10.12667110305036
950,14.731801689838347
2715,13.592368256649284
2758,10.819798284210286
1275,10.819798284210286
2425,13.122365377402328
1012,11.51293546492023
3562,11.51293546492023
1040,12.899222326086994
812,13.45883704259595
2996,12.206077645517674
637,12.611541086966117
2029,11.225256725762891
2838,12.899222326086994
911,11.51293546492023
1439,13.304686600863562
2922,12.206077645517674
2091,14.403297778421797
2898,12.323860125621126
1167,10.819798284210286
221,11.918397239722838
543,10.819798284210286
1495,12.691583538230216
2460,13.592368256649284
685,10.819798284210286
2472,11.736077016252436
1322,12.429220196836384
2106,10.819798284210286
1284,16.300417291085605
2152,13.815511557963774
3074,15.201805169084134
967,12.611541086966117
793,10.819798284210286
2498,12.206077645517674
2215,12.611541086966117
2096,11.225256725762891
272,11.51293546492023
521,11.918397239722838
522,13.304686600863562
2811,10.12667110305036
1085,10.819798284210286
2176,11.51293546492023
350,10.819798284210286
2368,16.118095750958314
925,10.819798284210286
1298,9.210440366976515
2075,10.819798284210286
2022,10.819798284210286
2667,12.206077645517674
651,11.918397239722838
2894,10.819798284210286
2009,10.819798284210286
2558,12.206077645517674
3007,10.819798284210286
3257,10.12667110305036
3036,10.12667110305036
3325,11.51293546492023
3455,10.819798284210286
1349,11.51293546492023
168,11.918397239722838
2900,11.736077016252436
1159,13.122365377402328
1003,11.918397239722838
806,11.51293546492023
2437,12.323860125621126
3011,11.918397239722838
1631,12.206077645517674
2597,10.12667110305036
1437,11.51293546492023
2734,11.51293546492023
3653,10.819798284210286
2564,10.12667110305036
219,13.592368256649284
367,15.424948670398354
2511,10.819798284210286
549,12.611541086966117
3043,11.918397239722838
2453,13.304686600863562
2426,12.206077645517674
351,12.206077645517674
2294,11.51293546492023
775,10.12667110305036
1677,11.225256725762891
2173,13.815511557963774
490,10.12667110305036
3126,11.51293546492023
2732,10.819798284210286
498,12.899222326086994
3349,10.819798284210286
210,10.12667110305036
1054,12.611541086966117
2929,11.225256725762891
650,10.12667110305036
227,12.611541086966117
365,11.918397239722838
877,12.899222326086994
1505,10.819798284210286
276,11.225256725762891
2281,10.819798284210286
949,11.918397239722838
1196,11.51293546492023
2760,12.206077645517674
957,12.206077645517674
407,13.815511557963774
3070,12.206077645517674
3342,11.51293546492023
2688,10.819798284210286
1016,12.206077645517674
2517,10.819798284210286
2776,12.611541086966117
1452,13.592368256649284
847,12.611541086966117
7,12.429220196836384
975,14.220976332738882
2693,11.51293546492023
2914,10.819798284210286
415,12.206077645517674
2358,11.918397239722838
2283,10.819798284210286
2489,10.819798284210286
1745,12.765691290604371
3275,13.122365377402328
1690,12.07254696717504
199,11.51293546492023
2434,11.225256725762891
2427,12.429220196836384
804,12.206077645517674
2311,10.12667110305036
2071,13.304686600863562
283,13.122365377402328
1230,11.225256725762891
231,12.206077645517674
3303,10.819798284210286
2721,12.611541086966117
1295,12.206077645517674
96,12.429220196836384
1694,11.51293546492023
2977,11.736077016252436
2247,11.51293546492023
1721,10.819798284210286
2397,13.997832948091215
1135,10.819798284210286
3373,11.225256725762891
3001,10.819798284210286
1751,10.819798284210286
1719,12.429220196836384
104,10.819798284210286
2560,17.147715103853763
2570,14.914123179965662
2054,11.51293546492023
1242,12.899222326086994
1145,10.819798284210286
3064,10.12667110305036
435,11.51293546492023
2882,10.819798284210286
747,11.736077016252436
226,12.206077645517674
1140,14.403297778421797
1059,10.819798284210286
982,14.508658238524095
2643,12.611541086966117
1910,11.51293546492023
1984,12.899222326086994
1555,10.12667110305036
3421,13.997832948091215
1435,12.611541086966117
2082,10.819798284210286
947,15.201805169084134
2831,11.51293546492023
1336,10.12667110305036
1130,11.51293546492023
2452,12.07254696717504
1409,10.819798284210286
2002,14.220976332738882
464,10.819798284210286
2057,12.07254696717504
2569,12.206077645517674
2792,10.12667110305036
1590,16.705882371415992
1526,12.611541086966117
2349,12.524530013005734
2064,14.914123179965662
1947,11.225256725762891
212,10.819798284210286
12,12.611541086966117
3449,10.819798284210286
904,12.611541086966117
422,13.997832948091215
890,11.225256725762891
1774,11.225256725762891
3674,10.819798284210286
1669,11.736077016252436
3139,13.122365377402328
2521,13.815511557963774
744,12.429220196836384
3066,10.819798284210286
2687,12.429220196836384
1754,10.819798284210286
1839,13.122365377402328
1600,11.918397239722838
2008,10.819798284210286
509,11.918397239722838
644,11.918397239722838
